NAME;TYPE;Straße;Hausnummer;Hausnummernzusatz;PLZ;Ort;ORTsteil;Flst.nr;Auftraggeber;zuständig;zugehöriges Projekt
HLDFG-RVT-01;RVT;Jakobusstraße;1;;89547;Gerstetten;Heldenfingen;396/22;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-02;RVT;Rüblinger Straße;11;;89547;Gerstetten;Heldenfingen;2151;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-03;RVT;Vordere Gasse;2;;89547;Gerstetten;Heldenfingen;30;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-04;RVT;Heuchlinger Straße;14;;89547;Gerstetten;Heldenfingen;140;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-05;RVT;Molkereistraße;47;;89547;Gerstetten;Heldenfingen;132;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-06;RVT;Kliffstraße;1;;89547;Gerstetten;Heldenfingen;463/1;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-07;RVT;Rüblinger Straße;38;1.0;89547;Gerstetten;Heldenfingen;2151;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
HLDFG-RVT-08;RVT;Rüblinger Straße;56;;89547;Gerstetten;Heldenfingen;2160/2;NetCom BW;114.3 - Heldenfingen (Gerstetten);114.3 - Heldenfingen (Gerstetten)
