locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10583;Gerstetten;Heldenfingen;Flurstraße;13;-;-;578939.27;5383947.0;1;0;grün;HLDFG-HA1x10rs-RVT05-01-012;HLDFG-RVT-05;rosa;1-2;12 F (1x12);2;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10585;Gerstetten;Heldenfingen;Friedhofstraße;3;-;-;578737.05;5384008.0;1;0;rot;HLDFG-HA1x10rt-RVT05-03-01;HLDFG-RVT-05;rot;1-2;12 F (1x12);2;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10600;Gerstetten;Heldenfingen;Halde;3;-;-;579200.06;5384322.0;1;0;grün;HLDFG-HA1x10ge-ws-RVT06-01-016;HLDFG-RVT-06;gelb / weiß;1-2;12 F (1x12);2;HLDFG-RVT-06;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10603;Gerstetten;Heldenfingen;Heuchlinger Straße;3;-;-;578711.46;5384014.0;1;0;grün;HLDFG-HA1x10tk-RVT02-01-09;HLDFG-RVT-02;türkis;1-2;12 F (1x12);2;HLDFG-RVT-02;69-70;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10684;Gerstetten;Heldenfingen;Kornblumenweg;8;-;-;579125.49;5384573.0;1;0;orange;HLDFG-HA1x10gn-RVT08-02-02;HLDFG-RVT-08;grün;1-2;12 F (1x12);2;HLDFG-RVT-08;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10696;Gerstetten;Heldenfingen;Lindenhöfe;1;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10697;Gerstetten;Heldenfingen;Lindenhöfe;2;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10698;Gerstetten;Heldenfingen;Lindenhöfe;3;-;-;;;1;0;;;;;1-2;;2;;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10700;Gerstetten;Heldenfingen;Max-Eyth-Straße;3;-;-;578625.39;5384017.0;1;0;grün;HLDFG-HA1x10bl-ws-RVT02-01-015;HLDFG-RVT-02;blau / weiß;1-2;12 F (1x12);2;HLDFG-RVT-02;123-124;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10703;Gerstetten;Heldenfingen;Max-Eyth-Straße;6;-;-;578623.09;5384038.0;1;0;grün;HLDFG-HA1x10rt-RVT03-04-01;HLDFG-RVT-03;rot;1-2;12 F (1x12);2;HLDFG-RVT-03;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10736;Gerstetten;Heldenfingen;Molkereistraße;19;-;-;578712.46;5384163.0;1;0;orange;HLDFG-HA1x10gr-RVT05-02-06;HLDFG-RVT-05;grau;1-2;12 F (1x12);2;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10748;Gerstetten;Heldenfingen;Molkereistraße;34;-;-;578802.92;5384109.0;2;0;orange;HLDFG-HA1x10or-RVT05-02-011;HLDFG-RVT-05;orange;1-4;12 F (1x12);4;HLDFG-RVT-05;;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
