locations_no;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;flurstueck;rechtswert;hochwert;wohneinheiten;geweinheiten;rvfarbe;rvname;dpsid;hamikrorohr;aplaufgelegt;hakabelfasern;hakabelspleiss;kntname;odfspleiss;odfkabelfasern;mfgsid;popextid;auftraggeber;assigned_user_id;popsid
LOC10489;Gerstetten;Heldenfingen;Baumstraße;26;-;-;578458.16;5383926.0;1;0;orange;HLDFG-HA1x10gn-ws-RVT03-02-014;HLDFG-RVT-03;grün / weiß;1-2;12 F (1x12);2;HLDFG-RVT-03;13-14;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10555;Gerstetten;Heldenfingen;Enzianweg;10;-;-;579182.67;5384516.0;1;0;rot;HLDFG-HA1x10ws-RVT08-03-05;HLDFG-RVT-08;weiß;1-2;12 F (1x12);2;HLDFG-RVT-08;13-14;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10624;Gerstetten;Heldenfingen;Hügelweg;9;-;-;578896.18;5384297.0;2;0;grün;HLDFG-HA1x10sw-RVT07-03-010;HLDFG-RVT-07;schwarz;1-4;12 F (1x12);4;HLDFG-RVT-07;13-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10674;Gerstetten;Heldenfingen;Konradstraße;13;/1;-;578701.66;5383752.0;1;0;blau;HLDFG-HA1x10ge-RVT04-04-04;HLDFG-RVT-04;gelb;1-2;12 F (1x12);2;HLDFG-RVT-04;13-14;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10724;Gerstetten;Heldenfingen;Mittlere Dorfstraße;6;-;-;578673.27;5384065.0;2;0;grün;HLDFG-HA1x10vi-ws-RVT02-01-020;HLDFG-RVT-02;violett / weiß;1-4;12 F (1x12);4;HLDFG-RVT-02;13-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10749;Gerstetten;Heldenfingen;Molkereistraße;36;-;-;578822.71;5384151.0;2;0;orange;HLDFG-HA1x10ws-sw-RVT05-02-017;HLDFG-RVT-05;schwarz / weiß;1-4;12 F (1x12);4;HLDFG-RVT-05;13-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10460;Gerstetten;Heldenfingen;Anemonenweg;1;-;-;579007.04;5384512.0;1;0;grün;HLDFG-HA1x10vi-ws-RVT08-01-020;HLDFG-RVT-08;violett / weiß;1-2;12 F (1x12);2;HLDFG-RVT-08;15-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10613;Gerstetten;Heldenfingen;Heuchlinger Straße;16;-;-;578749.84;5383868.0;1;0;orange;HLDFG-HA1x10gr-ws-RVT04-02-018;HLDFG-RVT-04;grau / weiß;1-2;12 F (1x12);2;HLDFG-RVT-04;15-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10721;Gerstetten;Heldenfingen;Max-Eyth-Straße;38;-;-;578409.18;5383980.0;1;0;grün;HLDFG-HA1x10ws-RVT03-01-05;HLDFG-RVT-03;weiß;1-2;12 F (1x12);2;HLDFG-RVT-03;15-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10655;Gerstetten;Heldenfingen;Kastanienweg;12;-;-;578739.25;5384489.0;1;0;grün;HLDFG-HA1x10br-RVT01-02-07;HLDFG-RVT-01;braun;1-2;12 F (1x12);2;HLDFG-RVT-01;103-104;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10552;Gerstetten;Heldenfingen;Enzianweg;6;-;-;579155.68;5384467.0;1;0;rot;HLDFG-HA1x10sw-RVT08-03-010;HLDFG-RVT-08;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-08;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10558;Gerstetten;Heldenfingen;Felsenstraße;2;-;-;578898.08;5384264.0;1;0;rot;HLDFG-HA1x10bl-RVT07-04-03;HLDFG-RVT-07;blau;1-2;12 F (1x12);2;HLDFG-RVT-07;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10582;Gerstetten;Heldenfingen;Flurstraße;7;-;-;578959.16;5383998.0;2;0;grün;HLDFG-HA1x10bl-ws-RVT05-01-015;HLDFG-RVT-05;blau / weiß;1-4;12 F (1x12);4;HLDFG-RVT-05;17-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10675;Gerstetten;Heldenfingen;Konradstraße;19;-;-;578687.17;5383717.0;1;0;blau;HLDFG-HA1x10rt-RVT04-04-01;HLDFG-RVT-04;rot;1-2;12 F (1x12);2;HLDFG-RVT-04;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10719;Gerstetten;Heldenfingen;Max-Eyth-Straße;34;-;-;578438.47;5384009.0;1;0;grün;HLDFG-HA1x10br-RVT03-01-07;HLDFG-RVT-03;braun;1-2;12 F (1x12);2;HLDFG-RVT-03;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10815;Gerstetten;Heldenfingen;Rüblinger Straße;22;-;-;578831.01;5384266.0;2;0;grün;HLDFG-HA1x10ws-RVT02-02-05;HLDFG-RVT-02;weiß;1-4;12 F (1x12);4;HLDFG-RVT-02;17-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10862;Gerstetten;Heldenfingen;Untere Hirschstraße;23;-;-;579022.63;5384227.0;1;0;grün;HLDFG-HA1x10ge-RVT06-01-04;HLDFG-RVT-06;gelb;1-2;12 F (1x12);2;HLDFG-RVT-06;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10506;Gerstetten;Heldenfingen;Brunnenäcker;6;-;-;578784.03;5384339.0;1;0;orange;HLDFG-HA1x10gr-RVT01-03-06;HLDFG-RVT-01;grau;1-2;12 F (1x12);2;HLDFG-RVT-01;105-106;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10478;Gerstetten;Heldenfingen;Baumstraße;6;-;-;578670.27;5383906.0;1;0;rot;HLDFG-HA1x10gr-RVT04-03-06;HLDFG-RVT-04;grau;1-2;12 F (1x12);2;HLDFG-RVT-04;19-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10482;Gerstetten;Heldenfingen;Baumstraße;16;-;-;578554.22;5383907.0;1;0;schwarz;HLDFG-HA1x10gn-RVT03-03-02;HLDFG-RVT-03;grün;1-2;12 F (1x12);2;HLDFG-RVT-03;19-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10525;Gerstetten;Heldenfingen;Dettinger Weg;6;-;-;579010.94;5384080.0;1;0;grün;HLDFG-HA1x10gn-RVT06-02-02;HLDFG-RVT-06;grün;1-2;12 F (1x12);2;HLDFG-RVT-06;19-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10572;Gerstetten;Heldenfingen;Felsenstraße;21;-;-;579013.94;5384314.0;1;0;grün;HLDFG-HA1x10or-RVT07-01-011;HLDFG-RVT-07;orange;1-2;12 F (1x12);2;HLDFG-RVT-07;19-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10640;Gerstetten;Heldenfingen;Jakobusstraße;17;-;-;578709.61;5384536.0;1;0;grün;HLDFG-HA1x10ge-RVT01-01-04;HLDFG-RVT-01;gelb;1-2;12 F (1x12);2;HLDFG-RVT-01;109-110;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10461;Gerstetten;Heldenfingen;Anemonenweg;2;-;-;579039.63;5384518.0;1;0;orange;HLDFG-HA1x10rt-ws-RVT08-02-013;HLDFG-RVT-08;rot / weiß;1-2;12 F (1x12);2;HLDFG-RVT-08;21-22;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10669;Gerstetten;Heldenfingen;Konradstraße;1;-;-;578735.25;5383856.0;1;0;blau;HLDFG-HA1x10or-RVT04-04-011;HLDFG-RVT-04;orange;1-2;12 F (1x12);2;HLDFG-RVT-04;21-22;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10735;Gerstetten;Heldenfingen;Molkereistraße;18;-;-;578699.26;5384141.0;2;0;rot;HLDFG-HA1x10tk-RVT02-03-09;HLDFG-RVT-02;türkis;1-4;12 F (1x12);4;HLDFG-RVT-02;21-24;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10737;Gerstetten;Heldenfingen;Molkereistraße;20;-;-;578733.15;5384147.0;2;0;orange;HLDFG-HA1x10vi-RVT05-02-08;HLDFG-RVT-05;violett;1-4;12 F (1x12);4;HLDFG-RVT-05;21-24;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10787;Gerstetten;Heldenfingen;Raiffeisenstraße;20;-;-;579169.07;5384251.0;1;0;grün;HLDFG-HA1x10ws-sw-RVT06-01-017;HLDFG-RVT-06;schwarz / weiß;1-2;12 F (1x12);2;HLDFG-RVT-06;21-22;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10859;Gerstetten;Heldenfingen;Untere Hirschstraße;15;-;-;578952.46;5384240.0;1;0;orange;HLDFG-HA1x10ws-RVT07-02-05;HLDFG-RVT-07;weiß;1-2;12 F (1x12);2;HLDFG-RVT-07;21-22;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10509;Gerstetten;Heldenfingen;Brunnenäcker;9;-;-;578819.11;5384381.0;1;0;orange;HLDFG-HA1x10sw-RVT01-03-010;HLDFG-RVT-01;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-01;111-112;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10623;Gerstetten;Heldenfingen;Hügelweg;7;-;-;578888.49;5384293.0;1;0;grün;HLDFG-HA1x10br-RVT07-03-07;HLDFG-RVT-07;braun;1-2;12 F (1x12);2;HLDFG-RVT-07;23-24;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10702;Gerstetten;Heldenfingen;Max-Eyth-Straße;5;-;-;578605.2;5384024.0;1;0;grün;HLDFG-HA1x10bl-RVT03-04-03;HLDFG-RVT-03;blau;1-2;12 F (1x12);2;HLDFG-RVT-03;23-24;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10784;Gerstetten;Heldenfingen;Raiffeisenstraße;14;-;-;579111.23;5384212.0;1;0;grün;HLDFG-HA1x10sw-RVT06-01-010;HLDFG-RVT-06;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-06;23-24;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10692;Gerstetten;Heldenfingen;Ligusterweg;3;-;-;578754.64;5384406.0;1;0;orange;HLDFG-HA1x10ge-RVT01-03-04;HLDFG-RVT-01;gelb;1-2;12 F (1x12);2;HLDFG-RVT-01;113-114;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10554;Gerstetten;Heldenfingen;Enzianweg;8;-;-;579169.77;5384494.0;1;0;rot;HLDFG-HA1x10br-RVT08-03-07;HLDFG-RVT-08;braun;1-2;12 F (1x12);2;HLDFG-RVT-08;25-26;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10618;Gerstetten;Heldenfingen;Heuchlinger Straße;26;-;-;578867.79;5383760.0;1;0;orange;HLDFG-HA1x10sw-RVT04-02-010;HLDFG-RVT-04;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-04;25-26;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10704;Gerstetten;Heldenfingen;Max-Eyth-Straße;9;-;-;578597.33;5384027.0;1;0;grün;HLDFG-HA1x10ge-RVT03-04-04;HLDFG-RVT-03;gelb;1-2;12 F (1x12);2;HLDFG-RVT-03;25-26;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10726;Gerstetten;Heldenfingen;Mittlere Dorfstraße;10;-;-;578674.67;5384099.0;1;0;rot;HLDFG-HA1x10vi-RVT02-03-08;HLDFG-RVT-02;violett;1-2;12 F (1x12);2;HLDFG-RVT-02;25-26;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10740;Gerstetten;Heldenfingen;Molkereistraße;24;-;-;578762.74;5384116.0;2;0;orange;HLDFG-HA1x10rt-RVT05-02-01;HLDFG-RVT-05;rot;1-4;12 F (1x12);4;HLDFG-RVT-05;25-28;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10819;Gerstetten;Heldenfingen;Rüblinger Straße;27;-;-;578852.8;5384297.0;1;0;grün;HLDFG-HA1x10gn-RVT07-03-02;HLDFG-RVT-07;grün;1-2;12 F (1x12);2;HLDFG-RVT-07;25-26;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10632;Gerstetten;Heldenfingen;Jakobusstraße;7;-;-;578820.91;5384508.0;1;0;grün;HLDFG-HA1x10rt-ws-RVT01-01-013;HLDFG-RVT-01;rot / weiß;1-2;12 F (1x12);2;HLDFG-RVT-01;115-116;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10538;Gerstetten;Heldenfingen;Dettinger Weg;26;-;-;579162.38;5384048.0;1;0;grün;HLDFG-HA1x10ge-ws-RVT06-02-016;HLDFG-RVT-06;gelb / weiß;1-2;12 F (1x12);2;HLDFG-RVT-06;27-28;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10542;Gerstetten;Heldenfingen;Elsternweg;1;-;-;578969.05;5383693.0;1;0;orange;HLDFG-HA1x10ge-RVT04-02-04;HLDFG-RVT-04;gelb;1-2;12 F (1x12);2;HLDFG-RVT-04;27-28;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10573;Gerstetten;Heldenfingen;Felsenstraße;23;-;-;579038.63;5384314.0;1;0;grün;HLDFG-HA1x10sw-RVT07-01-010;HLDFG-RVT-07;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-07;27-28;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10837;Gerstetten;Heldenfingen;Rüblinger Straße;55;-;-;578954.36;5384539.0;1;0;grün;HLDFG-HA1x10ws-sw-RVT08-01-017;HLDFG-RVT-08;schwarz / weiß;1-2;12 F (1x12);2;HLDFG-RVT-08;27-28;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10654;Gerstetten;Heldenfingen;Kastanienweg;11;-;-;578732.25;5384457.0;1;0;grün;HLDFG-HA1x10gr-RVT01-02-06;HLDFG-RVT-01;grau;1-2;12 F (1x12);2;HLDFG-RVT-01;117-118;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10535;Gerstetten;Heldenfingen;Dettinger Weg;20;-;-;579119.49;5384055.0;1;0;grün;HLDFG-HA1x10rs-RVT06-02-012;HLDFG-RVT-06;rosa;1-2;12 F (1x12);2;HLDFG-RVT-06;29-30;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10593;Gerstetten;Heldenfingen;Friedhofstraße;14;-;-;578835.11;5384036.0;2;0;rot;HLDFG-HA1x10sw-RVT05-03-010;HLDFG-RVT-05;schwarz;1-4;12 F (1x12);4;HLDFG-RVT-05;29-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10699;Gerstetten;Heldenfingen;Max-Eyth-Straße;2;-;-;578643.18;5384034.0;2;0;grün;HLDFG-HA1x10ge-ws-RVT02-01-016;HLDFG-RVT-02;gelb / weiß;1-4;12 F (1x12);4;HLDFG-RVT-02;29-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10858;Gerstetten;Heldenfingen;Untere Hirschstraße;14;-;-;578916.28;5384235.0;1;0;orange;HLDFG-HA1x10rt-ws-RVT07-02-013;HLDFG-RVT-07;rot / weiß;1-2;12 F (1x12);2;HLDFG-RVT-07;29-30;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10636;Gerstetten;Heldenfingen;Jakobusstraße;11;-;-;578780.73;5384515.0;1;0;grün;HLDFG-HA1x10sw-RVT01-01-010;HLDFG-RVT-01;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-01;121-122;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10708;Gerstetten;Heldenfingen;Max-Eyth-Straße;15;-;-;578533.53;5384066.0;1;0;grün;HLDFG-HA1x10ws-sw-RVT03-01-017;HLDFG-RVT-03;schwarz / weiß;1-2;12 F (1x12);2;HLDFG-RVT-03;31-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10770;Gerstetten;Heldenfingen;Rabenweg;4;-;-;578803.72;5383767.0;1;0;grün;HLDFG-HA1x10gr-RVT04-01-06;HLDFG-RVT-04;grau;1-2;12 F (1x12);2;HLDFG-RVT-04;31-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10786;Gerstetten;Heldenfingen;Raiffeisenstraße;18;-;-;579148.28;5384236.0;1;0;grün;HLDFG-HA1x10gr-ws-RVT06-01-018;HLDFG-RVT-06;grau / weiß;1-2;12 F (1x12);2;HLDFG-RVT-06;31-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10793;Gerstetten;Heldenfingen;Ringstraße;24;-;-;579114.4;5384422.0;1;0;blau;HLDFG-HA1x10sw-RVT08-04-010;HLDFG-RVT-08;schwarz;1-2;12 F (1x12);2;HLDFG-RVT-08;31-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10857;Gerstetten;Heldenfingen;Untere Hirschstraße;12;-;-;578907.78;5384237.0;1;0;orange;HLDFG-HA1x10gn-ws-RVT07-02-014;HLDFG-RVT-07;grün / weiß;1-2;12 F (1x12);2;HLDFG-RVT-07;31-32;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10693;Gerstetten;Heldenfingen;Ligusterweg;5;-;-;578781.73;5384420.0;2;0;orange;HLDFG-HA1x10gn-RVT01-03-02;HLDFG-RVT-01;grün;1-4;12 F (1x12);4;HLDFG-RVT-01;13-16;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10608;Gerstetten;Heldenfingen;Heuchlinger Straße;9;-;-;578731.75;5383955.0;2;0;grün;HLDFG-HA1x10bl-RVT02-01-03;HLDFG-RVT-02;blau;1-4;12 F (1x12);4;HLDFG-RVT-02;33-36;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10664;Gerstetten;Heldenfingen;Kliffstraße;4;-;-;579154.18;5384148.0;1;0;rot;HLDFG-HA1x10rs-RVT06-03-012;HLDFG-RVT-06;rosa;1-2;12 F (1x12);2;HLDFG-RVT-06;33-34;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10743;Gerstetten;Heldenfingen;Molkereistraße;28;-;-;578790.73;5384113.0;1;0;orange;HLDFG-HA1x10ge-RVT05-02-04;HLDFG-RVT-05;gelb;1-2;12 F (1x12);2;HLDFG-RVT-05;33-34;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10825;Gerstetten;Heldenfingen;Rüblinger Straße;38;/1;-;578944.93;5384335.0;1;0;rot;HLDFG-HA1x10gn-ws-RVT07-04-014;HLDFG-RVT-07;grün / weiß;1-2;12 F (1x12);2;HLDFG-RVT-07;33-34;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10637;Gerstetten;Heldenfingen;Jakobusstraße;13;-;-;578753.94;5384524.0;2;0;grün;HLDFG-HA1x10br-RVT01-01-07;HLDFG-RVT-01;braun;1-4;12 F (1x12);4;HLDFG-RVT-01;1-4;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10547;Gerstetten;Heldenfingen;Enzianweg;1;-;-;579117.2;5384476.0;1;0;rot;HLDFG-HA1x10tk-RVT08-03-09;HLDFG-RVT-08;türkis;1-2;12 F (1x12);2;HLDFG-RVT-08;35-36;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10617;Gerstetten;Heldenfingen;Heuchlinger Straße;21;-;-;578789.33;5383870.0;1;0;orange;HLDFG-HA1x10bl-ws-RVT04-02-015;HLDFG-RVT-04;blau / weiß;1-2;12 F (1x12);2;HLDFG-RVT-04;35-36;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10705;Gerstetten;Heldenfingen;Max-Eyth-Straße;10;-;-;578582.41;5384048.0;1;0;grün;HLDFG-HA1x10ws-RVT03-04-05;HLDFG-RVT-03;weiß;1-2;12 F (1x12);2;HLDFG-RVT-03;35-36;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10847;Gerstetten;Heldenfingen;Schlehenweg;7;-;-;579216.06;5384244.0;1;0;rot;HLDFG-HA1x10bl-RVT06-03-03;HLDFG-RVT-06;blau;1-2;12 F (1x12);2;HLDFG-RVT-06;35-36;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10651;Gerstetten;Heldenfingen;Kastanienweg;8;-;-;578794.32;5384473.0;1;0;grün;HLDFG-HA1x10tk-RVT01-02-09;HLDFG-RVT-01;türkis;1-2;12 F (1x12);2;HLDFG-RVT-01;17-18;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10557;Gerstetten;Heldenfingen;Felsenstraße;1;-;-;578877.39;5384269.0;1;0;rot;HLDFG-HA1x10rt-RVT07-04-01;HLDFG-RVT-07;rot;1-2;12 F (1x12);2;HLDFG-RVT-07;37-38;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10706;Gerstetten;Heldenfingen;Max-Eyth-Straße;11;-;-;578567.11;5384037.0;1;0;grün;HLDFG-HA1x10gr-RVT03-04-06;HLDFG-RVT-03;grau;1-2;12 F (1x12);2;HLDFG-RVT-03;37-38;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10727;Gerstetten;Heldenfingen;Molkereistraße;1;-;-;578556.42;5384091.0;1;0;rot;HLDFG-HA1x10bl-RVT02-03-03;HLDFG-RVT-02;blau;1-2;12 F (1x12);2;HLDFG-RVT-02;37-38;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10832;Gerstetten;Heldenfingen;Rüblinger Straße;45;-;-;578938.87;5384416.0;1;0;grün;HLDFG-HA1x10ge-RVT08-01-04;HLDFG-RVT-08;gelb;1-2;12 F (1x12);2;HLDFG-RVT-08;37-38;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10848;Gerstetten;Heldenfingen;Schlehenweg;8;-;-;579221.65;5384219.0;1;0;rot;HLDFG-HA1x10ge-RVT06-03-04;HLDFG-RVT-06;gelb;1-2;12 F (1x12);2;HLDFG-RVT-06;37-38;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10644;Gerstetten;Heldenfingen;Jakobusstraße;24;-;-;578682.57;5384544.0;1;0;grün;HLDFG-HA1x10rt-RVT01-01-01;HLDFG-RVT-01;rot;1-2;12 F (1x12);2;HLDFG-RVT-01;19-20;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10463;Gerstetten;Heldenfingen;Anemonenweg;5;-;-;579011.34;5384559.0;1;0;grün;HLDFG-HA1x10ws-RVT08-05-05;HLDFG-RVT-08;weiß;1-2;12 F (1x12);2;HLDFG-RVT-08;39-40;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
LOC10544;Gerstetten;Heldenfingen;Elsternweg;4;-;-;578917.18;5383702.0;1;0;orange;HLDFG-HA1x10gr-RVT04-02-06;HLDFG-RVT-04;grau;1-2;12 F (1x12);2;HLDFG-RVT-04;39-40;288 F (24x12);HLDFG-MFG-001;-;NetCom BW;114.3 - Heldenfingen (Gerstetten);DETGE-MFG-001
