Projekt;Auftraggeber;zuständig;Hausanschlusslänge inklusive;COM_ADRESS_ID;PLZ;ORT;ORTSTEIL;STRASSE;HAUSNR;HAUSNR_ZUSATZ;ANSCHLUSSNR;FLURSTUECK;RECHTSWERT;HOCHWERT;WOHN_EINHEITEN;GEW_EINHEITEN;INST_EINHEITEN;HA_PL_DATUM;HA_GF_DATUM;HA_MIKROROHR;HA_STATUS;HA_DATUM;RV_FARBE;RV_NAME;RVT_NAME;APL_HERSTELLER;APL_TYP;APL_STECKERTYP;APL_AUFGELEGT;HA_KABELTYP;HA_KABELFASERN;HA_KABEL_LAENGE;HA_KABEL_SPLEISS;KVT_NAME;KVT_DATUM;KVT_KASSETTE;KVT_KASSETTE_SEITE;ODF_KABELTYP;ODF_KABELFASERN;ODF_SPLEISS;ODF_SPLEISS_2;POP_NETCOM;POP_GEMEINDE;HOEHENEINHEIT;HE_RICHTUNG;RACK;ODF_STECKERTYP;SLOT;PORT;PORT_2;DAEMPFUNG;DAEMPFUNG_DATUM;BEMERKUNG;DATENEINGABE
;;;;514D2060DB8FB27BBA7033F4838BDE4A;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;31;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D33D6BCD487C6AA2BD0DCBA3745B1378;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;32;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;AA748E9311C73E3F71CC2832D07141C4;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;33;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;5177F7B5827B3959F8010B719B5624FA;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;34;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;DF9E8340923D60EFB9888CCD2EFD6D56;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;36;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;ADC441A820F23065A1F318AED092C412;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;38;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;B398366AB423A82D59ACD62ED7AE6025;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;40;/A;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;F3FF32B9F9316DBC8560941D54E90672;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;40;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;D4F8CDBE6AEB7C439D1D3D1D4A9FE479;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;42;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;34E07FF8022DDDFEF68D6C16E54F218C;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;51;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;22641BBDD67F48291072AE103DA5E831;88175;Scheidegg, im Allgäu;Allmannsried;Allmannsried;61;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;05D536CF459D1777B775258518E105DF;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;E00682908B0A76116CF81CE4D8217E44;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;648D201FB25F0BBB91AADBD3F55653DD;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;4;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;BE7035FFC426B9BF9BBBE17742A2D916;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;5;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;F52ABB56D527CE4F2417CFE5B123F694;88175;Scheidegg, im Allgäu;Bieslings;Bieslings;7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
