locations_no;auftraggeber;lie_zip;lie_city;lie_city_part;lie_street;lie_housenoonly;lie_housenoonlyext;wohneinheiten;flurstueck
;NetCom BW;89547;Gerstetten;Heuchlingen;Beim Sandigen Grüble;9;;2;
;NetCom BW;72474;Winterlingen;Winterlingen;Ankerstraße;24;;;
;NetCom BW;72474;Winterlingen;Winterlingen;Charlottenstraße;94;;6;
;NetCom BW;89547;Gerstetten;Heuchlingen;Ginsterweg;4;;;
;NetCom BW;69151;Neckargemünd;Dilsberg;Obere Straße;15;;;
;NetCom BW;89547;Gerstetten;Heuchlingen;Altheimer Straße;80;;1;
